school_name,school_address,latitude
Leon M. Goldstein High School for the Sciences,"1830 Shore Blvd Brooklyn, NY 11235","(40.58036435, -73.9351603236432)"
Mahwah High School,"50 Ridge Road Mahwah, NJ 07430","(41.0639492653061, -74.1693442244898)"
Eastchester Senior High School,"2 Stewart Pl Eastchester, NY 10709","(40.961401, -73.811072)"
Hillsborough High School,"466 Raider Boulevard Hillsborough, NJ 08844","(40.4976812238945, -74.6544071791156)"
Bridgewater-Raritan High School,"600 Garretson Road Bridgewater, NJ 08807","(40.593784, -74.631952)"
Sanford H. Calhoun High School,"1786 State St Merrick, NY 11566","(40.670884, -73.565293)"
Fairfield Ludlowe High School,"785 Unquowa Rd Fairfield, CT 06824","(41.15048, -73.264398)"
Watchung Hills Regional High School,"108 Stirling Rd Warren, NJ 07059","(40.65247245, -74.4752437654308)"
Holmdel High School,"36 Crawfords Corner Road Holmdel, NJ 07733","(40.3819627249265, -74.18169754271)"
Blind Brook High School,"840 King St Rye Brook, NY 10573","(41.03167635, -73.6746923692706)"
Sleepy Hollow High School,"210 N Broadway Sleepy Hollow, NY 10591","(41.1083389, -73.8591655)"
Columbia Secondary School,"425 W 123rd St New York, NY 10027","(40.8107155, -73.9562742)"
NYC Lab High School for Collaborative Studies,"333 W 17th St New York, NY 10011","(40.7424139, -74.0025156)"
Fair Lawn High School,"14 00 Berdan Avenue Fair Lawn, NJ 07410","(40.9326958, -74.1255002)"
Yorktown High School,"2727 Crompond Rd Yorktown Heights, NY 10598","(41.2769824, -73.7831957)"
Ramapo High School,"331 George Street Franklin Lakes, NJ 07417","(41.0003412040816, -74.1957899795918)"
Cold Spring Harbor High School,"82 Turkey Ln Cold Spring Harbor, NY 11724","(40.867146, -73.451706)"
White Plains Senior High School,"550 North St White Plains, NY 10605","(41.0205668, -73.7354870324799)"
Science Park High School,"260 Norfolk Street Newark, NJ 07102","(40.7398235, -74.1854226)"
Highland Park High School,"102 N 5th Ave, Highland Park, NJ 08904","(40.5029456, -74.4252522)"
Manhattan Hunter Science High School,"122 Amsterdam Ave New York, NY 10023","(40.77489495, -73.9856423934918)"
Suffern Senior High School,Suffern High School,"(41.1335521, -74.1101093181191)"
East Brunswick High School,"380 Cranbury Road E Brunswick, NJ 08816","(40.43257195, -74.3985654684705)"
Metuchen High School,"400 Grove Ave Metuchen, NJ 08840","(40.5534457, -74.3539955332175)"
Smithtown High School - Western Campus,"100 Central Rd Smithtown, NY 11787","(40.8632732, -73.2425929887844)"
Glen Ridge High School,"200 Ridgewood Ave Glen Ridge, NJ 07028","(40.798628, -74.206438)"
Parsippany High School,"309 Baldwin Rd Parsippany, NJ 07054","(40.8693281, -74.3928089294264)"
New Providence High School,"35 Pioneer Dr New Providence, NJ 07974","(40.6998133293057, -74.4083945662285)"
Wellington C. Mepham High School,"2401 Camp Ave Bellmore, NY 11710","(40.674533, -73.543199)"
Rumson Fair Haven Regional High School,"74 Ridge Road Rumson, NJ 07760","(40.3692196, -74.0015621226967)"
Irvington High School,"40 N Broadway Irvington, NY 10533","(37.6647851702997, -76.4084320956659)"
Chatham High School,"255 Lafayette Avenue Chatham, NJ 07928","(40.73203, -74.401884)"
Clarkstown North Senior High School,"151 Congers Rd New City, NY 10956","(41.1473347316346, -73.9765462138331)"
Lynbrook Senior High School,"9 Union Ave Lynbrook, NY 11563","(40.652658, -73.673219)"
Clarkstown South Senior High School,Clarkstown South Senior High School,"(41.10320495, -73.9804289101966)"
John F. Kennedy High School,"3000 Bellmore Ave Bellmore, NY 11710","(40.6512346, -73.5247602)"
Leonia High School,Leonia High School,"(40.8709585, -73.9884405)"
Infinity Institute,"193 Old Bergen Road Jersey City, NJ 07305","(40.6963691818182, -74.0935070909091)"
Nyack Senior High School,"360 Christian Herald Rd Nyack, NY 10960","(41.1089999888127, -73.9320423182637)"
East Meadow High School,"101 Carman Ave East Meadow, NY 11554","(40.7278213625426, -73.5561574637244)"
Glen Rock High School,"400 Hamilton Avenue Glen Rock, NJ 07452","(40.9556484117647, -74.1229634852941)"
Millennium High School,"75 Broad St New York, NY 10004","(40.7044516, -74.0114151)"
Croton-Harmon High School,Croton-Harmon High School,"(41.2068538, -73.8817903343944)"
Scotch Plains-Fanwood High School,"667 Westfield Road Scotch Plains, NJ 07076","(40.6536987, -74.3841847563186)"
Scholars' Academy,Scholars' Academy,"(40.5841667, -73.8258333)"
Pascack Hills High School,"225 West Grand Avenue Montvale, NJ 07645","(41.040124, -74.0304657)"
Cranford High School,"201 West End Place Cranford, NJ 07016","(40.660811, -74.31289)"
Red Bank Regional High School,"101 Ridge Road Little Silver, NJ 07739","(40.3500103, -74.04005245)"
Randolph High School,"511 Millbrook Avenue Randolph, NJ 07869","(40.8455000179839, -74.5652269091253)"
Huntington High School,"188 Oakwood Rd Huntington, NY 11743","(40.854932, -73.43033)"
Manhattan Center for Science & Mathematics,"260 Pleasant Ave New York, NY 10029","(40.7941615, -73.9331357530201)"
River Dell Regional High School,"55 Pyle Street Oradell, NJ 07649","(40.9443369790764, -74.0343640703432)"
Commack High School,"1 Scholar Ln Commack, NY 11725","(40.858863, -73.28953)"
South Side High School,"140 Shepherd St Rockville Centre, NY 11570","(40.6674744, -73.6207493417962)"
Somers Senior High School,"120 Primrose St Lincolndale, NY 10540","(41.3126651, -73.7140546837215)"
West Morris Central High School,West Morris Central High School,"(40.8098887, -74.7285184)"
Maspeth High School,"54-40 74th St Elmhurst, NY 11373","(40.7291609, -73.8872428)"
Bethpage Senior High School,"10 Cherry Ave Bethpage, NY 11714","(40.7558519937234, -73.4838913824905)"
W. Tresper Clarke High School,W. Tresper Clarke High School,"(40.74722, -73.56444)"
Midwood High School at Brooklyn College,"2839 Bedford Ave Brooklyn, NY 11210","(40.6328096, -73.9525804)"
Morris Hills High School,"520 West Main Street Rockaway, NJ 07866","(40.89024635, -74.5292298879234)"
Oceanside High School,"3160 Skillman Ave Oceanside, NY 11572","(40.6368267142857, -73.6290354489796)"
Millennium Brooklyn High School,"237 7th Ave Brooklyn, NY 11215","(40.6692988, -73.9786759018281)"
Francis Lewis High School,"58-20 Utopia Pky Fresh Meadows, NY 11365","(40.7406935, -73.793755909267)"
Governor Livingston High School,"175 Watchung Boulevard Berkeley Heights, NJ 07922","(40.6858747894737, -74.3891454210526)"
Wayne Hills High School,"272 Berdan Avenue Wayne, NJ 07470","(40.9685405, -74.2372873145518)"
Marlboro High School,"95 North Main Street Marlboro, NJ 07746","(40.3293469285333, -74.245127561219)"
Parsippany Hills High School,"20 Rita Drive Morris Plains, NJ 07950","(None, None)"
Hendrick Hudson High School,"61 Trolley Road Montrose, NY 10548","(41.2533364288646, -73.9328228216079)"
Wantagh Senior High School,"3297 Beltagh Ave Wantagh, NY 11793","(40.6889706766659, -73.5161948644917)"
Pompton Lakes High School,"44 Lakeside Avenue Pompton Lakes, NJ 07442","(41.0052457968028, -74.2905801167654)"
John H. Glenn High School,"478 Elwood Rd Elwood, NY 11731","(40.8548385015487, -73.33306968328)"
Bay Shore Senior High School,"155 3rd Ave Bay Shore, NY 11706","(40.7314261666667, -73.2557582083333)"
Baruch College Campus High School,"55 E 25th St New York, NY 10010","(40.7417975, -73.985941)"
Fort Lee High School,"3000 Lemoine Ave Fort Lee, NJ 07024","(40.85800295, -73.9645922708568)"
Kings Collegiate Charter School,"1084 Lenox Rd, Brooklyn, NY 11212","(40.6578814, -73.9198593)"
Locust Valley High School,Locust Valley High School,"(40.8896072, -73.5927761859539)"
County Prep High School,"525 Montgomery Street Jersey City, NJ 07306","(40.722153563377, -74.0593234726327)"
Northport Senior High School,"154 Laurel Hill Rd Northport, NY 11768","(40.8782306, -73.3421005166701)"
Dobbs Ferry High School,"505 Broadway Dobbs Ferry, NY 10522","(41.0173775, -73.87108)"
Madison High School,"170 Ridgedale Avenue Madison, NJ 07940","(40.77110715, -74.409129094311)"
Pascack Valley High School,"200 Piermont Ave Hillsdale, NJ 07642","(41.007555, -74.031175)"
Freehold Borough High School,"2 Robertsville Road Freehold, NJ 07728","(40.2677849693878, -74.2698368061224)"
Professional Performing Arts High School," 328 W 48th St New York, NY 10036","(40.7615114, -73.9886384)"
Freehold Borough High School,"2 Robertsville Road Freehold, NJ 07728","(40.2677849693878, -74.2698368061224)"
Gen. Douglas MacArthur Senior High School,3369 Old Jerusalem Rd,"(40.70373755, -73.5059973799195)"
Smithtown High School East,"10 School St Saint James, NY 11780","(40.87054145, -73.1654873165893)"
NYC iSchool,"131 Ave Of The Americas New York, NY 10013","(40.72462945, -74.0049892981545)"
Mount Olive High School,Mount Olive High School,"(40.8597509, -74.7133216419176)"
Colts Neck High School,"59 Five Points Road Colts Neck, NJ 07722","(40.2773686, -74.2100023)"
Massapequa High School,"4925 Merrick Rd Massapequa, NY 11758","(40.6663825714286, -73.453274622449)"
Ramsey High School,"256 E Main Street Ramsey, NJ 07446","(41.0577847995229, -74.1352914587537)"
West Essex High School,"65 West Greenbrook Rd North Caldwell, NJ 07006","(40.87167734375, -74.2741743125)"
New Hyde Park Memorial High School,"500 Leonard Blvd New Hyde Park, NY 11040","(None, None)"
Paramus High School,"99 East Century Rd Paramus, NJ 07652","(40.9269176716418, -74.0607203731343)"
Mount Sinai High School,"110 N Country Rd Mount Sinai, NY 11766","(40.939355, -73.0227466606783)"
North Star Academy Charter School of Newark,"10 Washington Place Newark, NJ 07102","(40.742309, -74.1697755)"
Cresskill High School,"1 Lincoln Dr Cresskill, NJ 07626","(40.94501, -73.964183)"
Valley Stream Central High School,Valley Stream Central High School,"(40.67130605, -73.6997738231677)"
Somerset County Vocational Tech High School,"14 Vogt Drive Bridgewater, NJ 08807","(40.5888865720521, -74.6075799369233)"
Montville Township High School,"100 Horseneck Road Montville, NJ 07045","(40.8937113, -74.3596404005618)"
Walter Panas High School,Walter Panas High School,"(41.2792607, -73.8584695)"
Monroe Township High School,"200 Schoolhouse Road Monroe Township, NJ 08831","(40.326603, -74.438047)"
Islip High School,"2508 Union Blvd Islip, NY 11751","(40.7326030612245, -73.2177860408163)"
Somerville High School,"222 Davenport St Somerville, NJ 08876","(40.5789789247074, -74.613060298131)"
Lakeland High School,"1349 East Main Street Shrub Oak, NY 10588","(41.3265936, -73.834544)"
Trumbull High School,"72 Strobel Rd Trumbull, CT 06611","(41.2653740975474, -73.192413666899)"
Matawan Regional High School,"450 Atlantic Avenue Aberdeen, NJ 07747","(40.4103434, -74.2231160411207)"
Achievement First Bridgeport Academy,"655 Stillman St Bridgeport, CT 06608","(41.1924289848778, -73.1760863892065)"
Columbia High School,"17 Parker Ave Maplewood, NJ 07040","(40.7348213333333, -74.2663698333333)"
Hauppauge High School,"500 Lincoln Blvd Hauppauge, NY 11788","(40.8224607, -73.2019189343013)"
Sayville High School,"20 Brook St West Sayville, NY 11796","(40.7368508, -73.0884838525141)"
College of Staten Island (CSI) High School for International Studies,"100 Essex Dr Staten Island, NY 10314","(40.5817018, -74.1592210864596)"
Kinnelon High School,"121 Kinnelon Road Kinnelon, NJ 07405","(40.99817421875, -74.376657)"
