school_name,school_address,latitude
The Brooklyn Academy of Global Finance,"125 Stuyvesant Ave Brooklyn, NY 11221","(40.69117415, -73.9334311748424)"
Harry S. Truman High School,"750 Baychester Ave Bronx, NY 10475","(40.87410125, -73.8322404815423)"
Central Islip Senior High School,"85 Wheeler Rd Central Islip, NY 11722","(40.797033968546, -73.2076493340257)"
Manhattan Early College School for Advertising,"411 Pearl St New York, NY 10038","(40.7114702, -74.0011694)"
Mott Hall Bronx High School,"1595 Bathgate Ave Bronx, NY 10457","(40.8395136, -73.9018473911468)"
Chelsea Career & Technical Education High School,"131 Ave Of The Americas New York, NY 10013","(40.72462945, -74.0049892981545)"
Uniondale High School,"933 Goodrich St Uniondale, NY 11553","(40.7049651283904, -73.5823633810327)"
Biotechnology Research & Zoological Sciences at the Fairchild Wheeler Campus,"840 Old Town Road Bridgeport, CT 06606","(41.2258894, -73.1875680278833)"
Pathways in Technology Early College High School,"150 Albany Ave Brooklyn, NY 11213","(40.67593365, -73.9393062118972)"
School of Science Technology Engineering & Mathematics,"61-127 Preakness Avenue Paterson, NJ 07502","(40.9145925, -74.1873923359887)"
Bronx High School for Law & Community Service,"500 E Fordham Rd Bronx, NY 10458","(40.8598397, -73.8882951)"
Institute for Health Professionals at Cambria Heights,"207-01 116th Ave Cambria Heights, NY 11411","(40.6982731, -73.7440303)"
Abraham Lincoln High School,"2800 Ocean Pkwy Brooklyn, NY 11235","(40.582368, -73.9683394685555)"
Grover Cleveland High School,"21-27 Himrod St Ridgewood, NY 11385","(40.7014112, -73.9185648)"
Northside Charter High School,"424 Leonard Street Brooklyn, NY 11222","(40.71976355, -73.9477923437121)"
Newtown High School,"48-01 90th St Elmhurst, NY 11373","(40.7408886, -73.8744261)"
The Urban Assembly School for Global Commerce,"2005 Madison Ave New York, NY 10035","(40.8069766, -73.9386114489948)"
Westchester Square Academy,"3000 E Tremont Ave Bronx, NY 10461","(40.8399325, -73.8391578557417)"
John Bowne High School,"63-25 Main St Flushing, NY 11367","(40.7569493, -73.8289256)"
Harlem Village Academies,"35 West 124th Street New York, NY 10027","(40.8064638, -73.9441355)"
Pan American International High School,"45-10 94th St Elmhurst, NY 11373","(40.74336015, -73.8714978)"
Union City High School,"2500 John F. Kennedy Blvd, Union City, NJ 07087","(40.7703386, -74.0364117275317)"
Long Island City High School,Long Island City High School,"(40.76538245, -73.9330318683768)"
Liberty High School Academy for Newcomers,"250 W 18th St New York, NY 10011","(40.74182085, -74.0002364059677)"
Eximius College Preparatory Academy,"1363 Fulton Ave Bronx, NY 10456","(40.8339229, -73.9028754)"
Innovation Diploma Plus,"145 W 84th St New York, NY 10024","(40.7857432, -73.9742029)"
Urban Assembly Academy of Government & Law,"350 Grand St New York, NY 10002","(40.7173439, -73.9893919)"
High School for Law & Public Service,"549 Audubon Ave New York, NY 10040","(40.8555093, -73.9262634470974)"
Middlesex County Vocational School - East Brunswick Campus School of Career Development,"112 Rues Lane East Brunswick, NJ 08816","(40.4199694210526, -74.3862217368421)"
Urban Assembly School of Design & Construction,"525 W 50th St New York, NY 10019","(40.7655507, -73.9935843)"
Plainfield Academy for the Arts & Advanced Studies (PAAAS),"1700 West Front St Plainfield, NJ 07063","(40.597762, -74.453988)"
Essex Street Academy,"350 Grand St New York, NY 10002","(40.7173439, -73.9893919)"
Repertory Company High School for Theatre Arts,"123 W 43rd St New York, NY 10036","(40.7560233, -73.9845629)"
Ramapo High School,"400 Viola Rd Spring Valley, NY 10977","(41.1322272, -74.0539721)"
Academy for Conservation & the Environment,"6565 Flatlands Ave Brooklyn, NY 11236","(40.63368355, -73.917884645992)"
Sunset Park High School,"153 35th St Brooklyn, NY 11232","(40.6554547, -74.0045642)"
Great Oaks Legacy Charter School,"24 Maiden Lane Newark, NJ 07102","(40.734696625, -74.175666875)"
Young Women's Leadership School of Brooklyn,"325 Bushwick Ave Brooklyn, NY 11206","(40.70503765, -73.938666185409)"
Hudson High School of Learning Technologies,"351 W 18th St New York, NY 10011","(40.74336655, -74.0027636652581)"
Lincoln High School,"375 Kneeland Ave Yonkers, NY 10704","(40.9221725058567, -73.8729366734789)"
Dreamyard Preparatory School,"240 E 172nd St Bronx, NY 10457","(40.83944, -73.9117451)"
John Adams High School,"101-01 Rockaway Blvd Ozone Park, NY 11417","(40.679571, -73.836781)"
Multicultural High School,"999 Jamaica Ave, NY 11208","(40.6930081, -73.8690752582902)"
Hyde Leadership Charter School,"730 Bryant Ave Bronx, NY 10474","(40.8154053265306, -73.8856517755102)"
East New York Family Academy,"2057 Linden Blvd Brooklyn, NY 11207","(40.6612937, -73.8867557006943)"
Unity Center for Urban Technologies,"111 E 33rd St New York, NY 10016","(40.7462177, -73.9809816)"
Mott Haven Community High School,"455 Southern Blvd Bronx, NY 10455","(40.8122526, -73.9031396)"
Academy for Language & Technology,"1700 Macombs Rd Bronx, NY 10453","(40.8494748, -73.9156114)"
Urban Assembly School for Collaborative Healthcare,"999 Jamaica Ave Brooklyn, NY 11208","(40.6930081, -73.8690752582902)"
International High School at Lafayette,"2630 Benson Ave Brooklyn, NY 11214","(40.59353805, -73.9862124695311)"
High School for Energy & Technology,"2474 Crotona Ave Bronx, NY 10458","(40.8552778, -73.8825)"
"High School for Enterprise, Business and Technology","850 Grand St Brooklyn, NY 11211","(40.7118943, -73.9391759)"
"High School for Law, Advocacy & Community Justice","122 Amsterdam Ave New York, NY 10023","(40.77489495, -73.9856423934918)"
Professional Pathways High School,Professional Pathways High School,"(40.5932004, -73.9364011)"
School of Earth & Space Science,"201 Memorial Drive Paterson, NJ 07505","(40.91678545, -74.1676009888841)"
"New York City Charter High School for Architecture, Engineering & Construction Industries","838 Brook Ave Bronx, NY 10454","(40.8218313, -73.9105139459824)"
Memorial Senior High School,"375 River Dr Elmwood Park, NJ 07407","(40.8888718, -74.1285735)"
Bound Brook High School,"111 West Union Avenue Bound Brook, NJ 08805","(40.56768945, -74.5366524520975)"
High School of Applied Communications,"30-20 Thomson Ave Long Island City, NY 11101","(40.7455819, -73.9392201)"
William L. Dickinson High School,"2 Palisade Ave Jersey City, NJ 07306","(40.729938, -74.055087)"
Bronx River High School,"3000 E Tremont Ave Bronx, NY 10461","(40.8399325, -73.8391578557417)"
Gramercy Arts High School,"40 Irving Pl New York, NY 10003","(40.7355392, -73.9874498)"
Brooklyn Frontiers High School,"112 Schermerhorn St Brooklyn, NY 11201","(40.6900156, -73.9893526)"
Middlesex County Vocational & Technical School (MCVTS) - Perth Amboy,"457 High Street Perth Amboy, NJ 08861","(40.51413965, -74.2628461384066)"
Business of Sports School,"439 W 49th St New York, NY 10019","(40.76367915, -73.9903461995945)"
Brooklyn Secondary School for Collaborative Studies,"610 Henry St Brooklyn, NY 11231","(40.679534, -74.0021094533076)"
Rahway High School,"1012 Madison Ave Rahway, NJ 07065","(40.61070785, -74.2940528680223)"
Renaissance High School for Musical Theater & Technology,"3000 E Tremont Ave Bronx, NY 10461","(40.8399325, -73.8391578557417)"
New Visions Charter High School - Adv. Math/Science IV,"156-10 Baisley Blvd, NY 11434","(40.6751681, -73.7832914)"
Brick Township High School,Brick Township High School,"(40.07292525, -74.1539249703724)"
International High School at Prospect Heights,"883 Classon Ave Brooklyn, NY 11225","(40.66994585, -73.9603397736624)"
Mather Building Arts & Craftsmanship High School,"439 W 49th St, NY 10019","(40.76367915, -73.9903461995945)"
Mott Hall V School,"1551 E 172nd St Bronx, NY 10472","(40.8316075, -73.8781016)"
"Queens High School for Information, Research & Technology","Far Rockaway, NY 11691","(40.6053825, -73.7551326)"
Middlesex County Vocational & Technical School (MCVTS) - Piscataway,"21 Suttons Lane Piscataway, NJ 08854","(40.5255079234482, -74.4301372800566)"
Manhattan Academy for Arts & Languages,"111 E 33rd St New York, NY 10016","(40.7462177, -73.9809816)"
FDNY High School for Fire & Life Safety,"400 Pennsylvania Ave Brooklyn, NY 11207","(40.6669096, -73.8951367397336)"
Park Slope Collegiate,"237 7th Ave Brooklyn, NY 11215","(40.6692988, -73.9786759018281)"
Urban Assembly School for Media Studies,"122 Amsterdam Ave New York, NY 10023","(40.77489495, -73.9856423934918)"
Quest to Learn Middle School,"351 W 18th St New York, NY 10011","(40.74336655, -74.0027636652581)"
Broome Street Academy Charter High School,"121 Ave Of The Americas New York, NY 10013","(40.72412545, -74.0051442013272)"
Herbert H. Lehman High School,"3000 E Tremont Ave Bronx, NY 10461","(40.8399325, -73.8391578557417)"
Vanguard High School,"317 E 67th St, NY 10021","(40.7655687, -73.9595921)"
World View High School,"100 W Mosholu Pkwy S, The Bronx, NY 10468","(40.8813165, -73.8873389847276)"
School of Architecture & Construction Trades,"61-127 Preakness Avenue Paterson, NJ 07502","(40.9145925, -74.1873923359887)"
Amityville Memorial High School,"250 Merrick Rd Amityville, NY 11701","(40.670019, -73.412791)"
Comprehensive Model School Project - M.S. 327,"1501 Jerome Ave Bronx, NY 10452","(40.842483, -73.916202)"
Bronx Collegiate Academy,"240 E 172nd St Bronx, NY 10457","(40.83944, -73.9117451)"
Manchester Regional High School,"70 Church Street Haledon, NJ 07508","(40.9413871494878, -74.1823758847443)"
Bronx Envision Academy,"1619 Boston Rd Bronx, NY 10460","(40.83633135, -73.8903250046069)"
Young Women's Leadership School of the Bronx,"1865 Morris Ave Bronx, NY 10453","(40.8485937, -73.9086468633304)"
Kingsbridge International High School,"2780 Reservoir Ave Bronx, NY 10468","(40.8701955, -73.8964685)"
Bronx Arena High School,"1440 Story Ave Bronx, NY 10473","(40.82078665, -73.8807534855072)"
Kearny High School,"336 Devon St Kearny, NJ 07032","(40.76217, -74.14769)"
Nelson Mandela High School,"250 Gramatan Ave Mount Vernon, NY 10550","(40.9163967142857, -73.8375788571429)"
Bronx Aerospace High School,"800 E Gun Hill Rd Bronx, NY 10467","(40.8755487, -73.8614234)"
David Brearley Middle/High School,"401 Monroe Avenue Kenilworth, NJ 07033","(40.679813, -74.293737)"
Hopatcong High School,"2 A Windsor Ave Hopatcong, NJ 07843","(40.927879, -74.671216)"
Brooklyn High School of the Arts,"345 Dean st Brooklyn, NY 11217","(40.68401425, -73.9799508640868)"
International High School,"200 Grand Street Paterson, NJ 07501","(40.90975665, -74.1788360306279)"
New Visions Charter High School: Advanced Math & Science III,"3000 Ave, NY 11235","(40.591932, -73.937199)"
Bronx Guild High School,"1980 Lafayette Ave Bronx, NY 10473","(40.8209151, -73.8558569)"
Brooklyn Studio Secondary School,"8310 21st Ave Brooklyn, NY 11214","(40.6050263, -73.9953948)"
Excelsior Preparatory,"143-10 Springfield Blvd Springfield Gardens, NY 11413","(40.6874748, -73.7489068)"
Clark Academy,"71 S Broadway Dobbs Ferry, NY 10522","(41.005986, -73.879664)"
City College Academy of the Arts,"4600 Broadway New York, NY 10040","(40.86093735, -73.9300601751989)"
Voyages Prep-South Queens,"156-10 Baisley Blvd, NY 11434","(40.6751681, -73.7832914)"
High School for Language & Innovation,"925 Astor Ave Bronx, NY 10469","(40.8598996, -73.8603222)"
Landmark High School,"351 W 18th St New York, NY 10011","(40.74336655, -74.0027636652581)"
Williamsburg Charter High School,"198 Varet St Brooklyn, NY 11206","(40.70351, -73.9358000920521)"
Martin Van Buren High School,"230-17 Hillside Ave Queens Village, NY 11427","(40.7336845, -73.7387225)"
World Journalism Preparatory School,"34-65 192nd St, NY 11358","(40.7648014, -73.7897127438046)"
Voyages Preparatory,"45-10 94th St Elmhurst, NY 11373","(40.74336015, -73.8714978)"
Orchard Collegiate Academy,"220 Henry St New York, NY 10002","(40.7133609, -73.9863023769841)"
Channel View School for Research,"100-00 Beach Channel Dr Rockaway Park, NY 11694","(40.5819783, -73.8376956)"
Fordham Leadership Academy,Fordham Leadership Academy,"(40.8596377, -73.889172)"
Thornton High School,"121 S 6th Ave Mount Vernon, NY 10550","(40.9081830172052, -73.8376756388635)"
Millenium Art Academy,"1980 Lafayette Ave Bronx, NY 10473","(40.8209151, -73.8558569)"
The Urban Assembly School for Green Careers,"145 W 84th St New York, NY 10024","(40.7857432, -73.9742029)"
Linden High School,"121 W St Georges Ave, Linden, NJ 07036","(40.63469035, -74.2651504150927)"
West Brooklyn Community High School,"1053 41st St Brooklyn, NY 11218","(40.639505, -73.987455)"
Urban Assembly School for Applied Math & Science,"1595 Bathgate Ave Bronx, NY 10457","(40.8395136, -73.9018473911468)"
Murray Hill Academy,"111 E 33rd St New York, NY 10016","(40.7462177, -73.9809816)"
Bronx Compass High School,"1980 Lafayette Ave Bronx, NY 10473","(40.8209151, -73.8558569)"
Keyport High School,"351 Broad Street Keyport, NJ 07735","(40.4292092068966, -74.1976901724138)"
Queens Collegiate: A College Board School,"167-01 Gothic Dr, NY 11432","(40.71421795, -73.7979245161693)"
Morris Academy for Collaborative Studies,"1110 Boston Rd Bronx, NY 10456","(40.8273033, -73.9045098)"
Life Academy High School for Film & Music,"2630 Benson Ave Brooklyn, NY 11214","(40.59353805, -73.9862124695311)"
The Global Learning Collaborative,"145 W 84th St New York, NY 10024","(40.7857432, -73.9742029)"
Bedford Stuyvesant Preparatory High School,"832 Marcy Ave Brooklyn, NY 11216","(40.6846677, -73.9475228)"
Bronx Community High School,"1980 Lafayette Ave Bronx, NY 10473","(40.8209151, -73.8558569)"
Bronx Early College Academy for Teaching & Learning,"250 E 164th St Bronx, NY 10456","(40.82809765, -73.9176545960612)"
The Heritage School,"1680 Lexington Ave New York, NY 10029","(40.7919962, -73.9467718210059)"
Academy Charter High School,"1725 Main Street Lake Como, NJ 07719","(40.1715163333333, -74.0275168205128)"
Bronx Theatre High School,"99 Terrace View Ave Bronx, NY 10463","(None, None)"
Spring Valley High School,Spring Valley High School,"(41.106067, -74.0561554348561)"
Gregorio Luperon High School for Science & Mathematics,"501 W 165th St New York, NY 10032","(40.83839235, -73.9385935617747)"
Yonkers Montessori Academy,"160 Woodlawn Ave Yonkers, NY 10704","(40.904787, -73.863688)"
International High School for Health Sciences,"48-01 90th St Elmhurst, NY 11373","(40.7408886, -73.8744261)"
East Side High School,"238 Van Buren St Newark, NJ 07105","(40.7236832727273, -74.1598173636364)"
Pelham Lab High School,"3000 E Tremont Ave Bronx, NY 10461","(40.8399325, -73.8391578557417)"
Alfred E. Smith Career & Technical High School,"333 E 151st St Bronx, NY 10451","(40.81862835, -73.920291270937)"
The Facing History School,"525 W 50th St New York, NY 10019","(40.7655507, -73.9935843)"
Union County TEAMS Charter School,Union County TEAMS Charter School,"(40.6125163, -74.425926)"
"Science Skills Center High School For Science, Technology & The Creative Arts","49 Flatbush Ave Ext Brooklyn, NY 11201","(None, None)"
Academy of Urban Planning,"400 Irving Ave Brooklyn, NY 11237","(40.6970899, -73.9113818)"
UFT Charter School,UFT Charter School,"(40.6713889, -73.8933333)"
Transit Tech Career & Technical Education High School,"1 Wells St Brooklyn, NY 11208","(40.6785352, -73.8752297)"
Cambria Heights Academy,"188-04 91st Ave Hollis, NY 11423","(40.7116032, -73.7709483996911)"
Green School: An Academy for Environmental Careers,"223 Graham Ave Brooklyn, NY 11206","(40.7098149, -73.943911)"
Bushwick School for Social Justice,"400 Irving Ave Brooklyn, NY 11237","(40.6970899, -73.9113818)"
John Jay School for Law,"237 7th Ave Brooklyn, NY 11215","(40.6692988, -73.9786759018281)"
Richmond Hill High School,"89-30 114th St Richmond Hill, NY 11418","(40.6948875, -73.8339038342435)"
Bronxdale High School,"925 Astor Ave Bronx, NY 10469","(40.8598996, -73.8603222)"
Community Health Academy of the Heights,"504 W 158th St New York, NY 10033","(40.83338775, -73.9424843057165)"
International School for Liberal Arts,"2780 Reservoir Ave Bronx, NY 10468","(40.8701955, -73.8964685)"
Urban Action Academy,"1600 Rockaway Pkwy Brooklyn, NY 11236","(40.6411019, -73.8981466)"
Rosa L. Parks School of Fine & Performing Arts,"413 12th Avenue Paterson, NJ 07514","(40.9206543, -74.1465324)"
Bronx Leadership Academy II High School,"730 A Concourse Village W, The Bronx, NY 10451","(40.8227273918919, -73.9234791621622)"
Hostos-Lincoln Academy of Science,"600 St Anns Ave Bronx, NY 10455","(40.8148805, -73.9121778)"
M.E.T.S. Charter School,"211 Sherman Ave Jersey City, NJ 07307","(40.7478964137931, -74.044950137931)"
M.S. 223 - Laboratory School of Finance & Technology,"360 E 145th St Bronx, NY 10454","(40.8136604, -73.9202945)"
Brooklyn Academy High School,"832 Marcy Ave Brooklyn, NY 11216","(40.6846677, -73.9475228)"
John W. Lavelle Preparatory Charter School,"1 Teleport Dr, Staten Island, NY 10311","(40.604068, -74.182407)"
Rockaway Collegiate High School,"100-00 Beach Channel Dr Rockaway Park, NY 11694","(40.5819783, -73.8376956)"
Inwood Early College for Health & Information Technologies,"650 Academy St New York, NY 10034","(40.8656163, -73.9248011)"
Astor Collegiate Academy,"925 Astor Ave Bronx, NY 10469","(40.8598996, -73.8603222)"
Brooklyn Generation School,"6565 Flatlands Ave Brooklyn, NY 11236","(40.63368355, -73.917884645992)"
Bronx High School for Medical Science,"240 E 172nd St Bronx, NY 10457","(40.83944, -73.9117451)"
Crotona Academy High School,"1211 Southern Blvd Bronx, NY 10459","(40.8293079, -73.8922459331459)"
Cascades High School,"198 Forsyth St New York, NY 10002","(40.7224227, -73.9906002)"
Satellite Academy High School,"120 W 30th St New York, NY 10001","(40.7474225, -73.9905517897409)"
Leadership & Public Service High School,"90 Trinity Pl New York, NY 10006","(40.70896375, -74.0124804129914)"
Greenburgh Academy,"108 Shonnard Pl Yonkers, NY 10701","(40.9506282, -73.8854556)"
M.S./H.S. 368 - In-Tech Academy,"2975 Tibbetts Ave Bronx, NY 10463","(None, None)"
Barack Obama Academy for Academic & Civic Development (BOAACD),"1200 Myrtle Ave Plainfield, NJ 07063","(40.604677, -74.447444)"
Leadership Institute,"1701 Fulton Ave Bronx, NY 10457","(40.8412244, -73.898683834162)"
Eagle Academy for Young Men,"4143 3rd Ave Bronx, NY 10457","(40.8452557, -73.8970706)"
Rockaway Park High School for Environmental Sustainability,"100-00 Beach Channel Dr Rockaway Park, NY 11694","(40.5819783, -73.8376956)"
The Bridge Academy,"160 Pulaski Street Bridgeport, CT 06608","(41.1839730931061, -73.1841376609831)"
Jill Chaifetz Transfer High School,"778 Forest Ave Bronx, NY 10456","(40.8191274, -73.905337)"
Performing Arts & Technology High School,"400 Pennsylvania Ave Brooklyn, NY 11207","(40.6669096, -73.8951367397336)"
Bronx International High School,"1110 Boston Rd Bronx, NY 10456","(40.8273033, -73.9045098)"
Concord High School,"109 Rhine Ave Staten Island, NY 10304","(40.6108161, -74.0867946)"
Peekskill High School,"1072 Elm St Peekskill, NY 10566","(41.2867050163511, -73.9182793599126)"
Bronx Bridges High School,"1980 Lafayette Ave Bronx, NY 10473","(40.8209151, -73.8558569)"
James Baldwin School,"351 W 18th St New York, NY 10011","(40.74336655, -74.0027636652581)"
Preparatory Academy For Writers,"143-10 Springfield Blvd Springfield Gardens, NY 11413","(40.6874748, -73.7489068)"
Independence High School,"850 10th Ave New York, NY 10019","(40.7680257, -73.9891224)"
High School for Law Enforcement & Public Safety,"116-25 Guy R Brewer Blvd Jamaica, NY 11434","(40.7011806, -73.7945899)"
Bronx Latin School,"800 Home St Bronx, NY 10456","(40.8277475, -73.900672)"
Food & Finance High School,"525 W 50th St New York, NY 10019","(40.7655507, -73.9935843)"
Explorations Academy,"1619 Boston Rd Bronx, NY 10460","(40.83633135, -73.8903250046069)"
Riverside High School,"565 Warburton Ave Yonkers, NY 10701","(40.9559167845234, -73.8951382152557)"
Health Opportunities High School,"350 Gerard Ave Bronx, NY 10451","(40.8155463, -73.9304408)"
Progress High School for Professional Careers,"850 Grand St Brooklyn, NY 11211","(40.7118943, -73.9391759)"
Boerum School for International Studies,"284 Baltic St Brooklyn, NY 11201","(40.68501145, -73.9932931849264)"
Brooklyn Lab School,"999 Jamaica Ave Brooklyn, NY 11208","(40.6930081, -73.8690752582902)"
Brooklyn Lab School,"999 Jamaica Ave Brooklyn, NY 11208","(40.6930081, -73.8690752582902)"
Gorton High School,"100 Shonnard Pl Yonkers, NY 10703","(40.950665, -73.88559)"
Epic High School North,"94-25 117th St, South Richmond Hill, NY 11419","(40.69286555, -73.8290878045141)"
Belleville High School,"100 Passaic Ave Belleville, NJ 07109","(40.803588, -74.162883)"
J.M. Wright Technical High School,"120 Bridge St Stamford, CT 06905","(41.06136465, -73.5471702874814)"
Secondary School for Journalism,"237 7th Ave Brooklyn, NY 11215","(40.6692988, -73.9786759018281)"
Pan American International High School at Monroe,"1300 Boynton Ave Bronx, NY 10472","(40.8318142, -73.8787019)"
Washington Heights Expeditionary Learning School,"511 W 182nd St New York, NY 10033","(40.84923795, -73.9309075236738)"
Antonia Pantoja Preparatory Academy,"1980 Lafayette Ave Bronx, NY 10473","(40.8209151, -73.8558569)"
American History High School,"74 Montgomery St Newark, NJ 07103","(40.730301, -74.186299)"
Gotham Professional Arts Academy,"265 Ralph Ave Brooklyn, NY 11233","(40.6801965, -73.9214660440817)"
Richard R. Green High School of Teaching,"26 Broadway New York, NY 10004","(40.7053128, -74.0129107229046)"
George Westinghouse Career & Technical Education High School,"105 Tech Pl Brooklyn, NY 11201","(40.69544665, -73.9856024936999)"
Garfield High School,"500 Palisade Ave Garfield, NJ 07026","(40.882477, -74.112018)"
Longwood Preparatory Academy,"965 Longwood Ave Bronx, NY 10459","(40.8176007, -73.8979847)"
Stamford Academy,"229 North St Stamford, CT 06901","(41.0534302, -73.5387341)"
Paterson Charter School for Science & Technology,"276 Wabash Avenue Paterson, NJ 07503","(40.8946346153846, -74.1491427307692)"
Brooklyn Community Arts & Media High School (BCAM),"300 Willoughby Ave Brooklyn, NY 11205","(40.6925521, -73.9583387)"
Academy for Young Writers,"1065 Elton St Brooklyn, NY 11208","(40.6582030408163, -73.8751834897959)"
Brooklyn Theatre Arts High School,"6565 Flatlands Ave Brooklyn, NY 11236","(40.63368355, -73.917884645992)"
High School of Sports Management,"2630 Benson Ave Brooklyn, NY 11214","(40.59353805, -73.9862124695311)"
Marta Valle High School,"145 Stanton St New York, NY 10002","(40.7201826, -73.9861015321289)"
Bronx Academy of Health Careers,"800 E Gun Hill Rd Bronx, NY 10467","(40.8755487, -73.8614234)"
Thomas Jefferson Arts Academy,NJ 07202,"(40.6538069084788, -74.2166631754235)"
The School for Classics,"370 Fountain Ave Brooklyn, NY 11208","(40.66993855, -73.8743622992004)"
Harlem Children's Zone Promise Academy II Charter School,"35 E 125th St New York, NY 10035","(40.8061447, -73.940899749786)"
Newark Early College High School,"403 South Orange Avenue Newark, NJ 07103","(40.7411318437762, -74.2029114537762)"
Life Sciences Secondary School,"320 E 96th St New York, NY 10128","(40.7833077, -73.9459155382402)"
Flushing High School,"35-01 Union St Flushing, NY 11354","(40.7586437, -73.8257291)"
Fannie Lou Hamer Freedom School,"1021 Jennings St Bronx, NY 10460","(40.8309293, -73.8861146)"
Frederick Douglass Academy,"2581 7th Ave New York, NY 10039","(40.8243845, -73.9366893)"
Achievement First Voyager Charter School,"1485 Pacific Street Brooklyn, NY 11216","(40.6773199426313, -73.9421514144285)"
Central High School,"250 18th Avenue Newark, NJ 07103","(40.7293575333333, -74.1920633333333)"
Wyandanch Memorial High School,"54 S 32nd St Wyandanch, NY 11798","(40.7455952631579, -73.3741008421053)"
Waldeigh Secondary School For The Performing & Visual Arts,"215 W 114th St New York, NY 10026","(40.802607, -73.9542941183614)"
High School for Youth & Community Development,"911 Flatbush Ave Brooklyn, NY 11226","(40.6495043, -73.9582574)"
International Community High School,"345 Brook Ave Bronx, NY 10454","(40.81019795, -73.9187001496381)"
Pablo Neruda Academy for Architecture & World Studies,"1980 Lafayette Ave Bronx, NY 10473","(40.8209151, -73.8558569)"
John E. Dwyer Technical Academy,"123 Pearl St Elizabeth, NJ 07202","(40.6602248659551, -74.2119010204943)"
Holcombe L. Rucker School of Community Research,"965 Longwood Ave Bronx, NY 10459","(40.8176007, -73.8979847)"
Epic High School-South,"121-10 Rockaway Blvd South Ozone Park, NY 11420","(40.6754783, -73.8165657)"
Harrison High School,"401 Kingsland Avenue Harrison, NJ 07029","(40.749966, -74.148419)"
"Archimedes Academy for Math, Science & Technology Applications","456 White Plains Rd Bronx, NY 10473","(40.8149897, -73.856076093216)"
Aspirations Diploma Plus High School,"1495 Herkimer St Brooklyn, NY 11233","(40.6772532631579, -73.9044722105263)"
Benjamin Franklin High School for Finance & Information Technology,"207-01 115th Ave Cambria Heights, NY 11411","(40.7012072, -73.7407249)"
Mount Vernon High School,"100 California Rd Mount Vernon, NY 10552","(40.9264218989275, -73.8176587770895)"
Keansburg High School,"140 Port Monmouth Road Keansburg, NJ 07734","(40.4418624545455, -74.1238081818182)"
Bridgeport Military Academy,"160 Iranistan Avenue Bridgeport, CT 06605","(41.1713219, -73.2011463)"
Birchwood School,"214 Sickletown Rd West Nyack, NY 10994","(41.0841438, -73.9723559)"
East Brooklyn Community High School,"9517 Kings Hwy Brooklyn, NY 11212","(40.6597896, -73.9206100277385)"
The Bronx Preparatory Academy,"921 E 228th St Bronx, NY 10466","(40.8882399, -73.8527657)"
Queens Satellite High School For Opportunity,"162-02 Hillside Ave Jamaica, NY 11432","(40.7083498, -73.7995981)"
School for Excellence,"1100 Boston Rd Bronx, NY 10456","(40.827316, -73.90472)"
Bronx Engineering & Technology Academy,"99 Terrace View Ave, NY 10458","(40.877413, -73.9130612872972)"
Validus Preparatory Academy,"1595 Bathgate Ave Bronx, NY 10457","(40.8395136, -73.9018473911468)"
High School for Teaching & the Professions,High School for Teaching and the Professions,"(40.8704223, -73.8970822)"
New Brunswick High School,"1000 Somerset St New Brunswick, NJ 08901","(40.4796743841685, -74.4849874440464)"
It Takes a Village Academy,"5800 Tilden Ave Brooklyn, NY 11203","(40.6477763, -73.9215436)"
Edward A. Reynolds West Side High School,"140 W 102nd St New York, NY 10025","(40.79712195, -73.9667843074009)"
High School for Civil Rights,"400 Pennsylvania Ave Brooklyn, NY 11207","(40.6669096, -73.8951367397336)"
Orange High School,"400 Lincoln Ave Orange, NJ 07050","(40.76564635, -74.2393045451534)"
Bronx Career & College Preparatory High School,"800 Home St Bronx, NY 10456","(40.8277475, -73.900672)"
High School for Service & Learning at Erasmus,"911 Flatbush Ave Brooklyn, NY 11203","(40.6495043, -73.9582574)"
High School for Medical Professions,"1600 Rockaway Pkwy Brooklyn, NY 11236","(40.6411019, -73.8981466)"
Providing Urban Learners Success in Education High School,"560 E 179th St Bronx, NY 10455","(40.84830015, -73.8935757102176)"
Queens Preparatory Academy,"143-10 Springfield Blvd Springfield Gardens, NY 11413","(40.6874748, -73.7489068)"
Newark Vocational High School,"403 South Orange Avenue Newark, NJ 07103","(40.7411318437762, -74.2029114537762)"
George Washington Carver High School for the Sciences,"143-10 Springfield Blvd Springfield Gardens, NY 11413","(40.6874748, -73.7489068)"
Metropolitan Diploma Plus High School,"985 Rockaway Ave Brooklyn, NY 11212","(40.65576405, -73.9066876557033)"
William E. Grady Career & Technical Education High School,"25 Brighton 4th Rd Brooklyn, NY 11235","(40.5833954, -73.9634887404155)"
Bushwick Leaders' High School for Academic Excellence,"797 Bushwick Ave Brooklyn, NY 11221","(40.6954245, -73.9276457729749)"
Frederick Douglas Academy VI High School,"8-21 Bay 25th St, NY 11691","(40.6040064390244, -73.9978115853659)"
The High School for Global Citizenship,"883 Classon Ave Brooklyn, NY 11225","(40.66994585, -73.9603397736624)"
The Metropolitan Soundview High School,"1300 Boynton Ave Bronx, NY 10472","(40.8318142, -73.8787019)"
Automotive High School,"50 Bedford Ave Brooklyn, NY 11222","(40.7222456, -73.9534005233044)"
Urban Assembly School for Careers in Sports,"730 Concourse Village West Bronx, NY 10451","(40.82199085, -73.9233885808541)"
Bronx High School for Writing & Communication Arts,"800 E Gun Hill Rd Bronx, NY 10467","(40.8755487, -73.8614234)"
